vector_type,size,algorithm,time_ns,comparisons
reversed,1400,StringMergeSort,3185958,5556
reversed,1400,TernaryQuickSort,8842208,22041
reversed,1500,MergeSort,3103166,13349
reversed,1500,MsdRadixQuickSort,7682541,13301
reversed,1500,MsdRadixSort,3879833,0
reversed,1500,QuickSort,9487583,130395
reversed,1500,StringMergeSort,3362125,5955
reversed,1500,TernaryQuickSort,10195584,27336
reversed,1600,MergeSort,3324834,14342
reversed,1600,MsdRadixQuickSort,8098375,13669
reversed,1600,MsdRadixSort,4124042,0
reversed,1600,QuickSort,10088375,138366
reversed,1600,StringMergeSort,3609125,6373
reversed,1600,TernaryQuickSort,10591125,27702
reversed,1700,MergeSort,3534917,15197
reversed,1700,MsdRadixQuickSort,8742917,14552
reversed,1700,MsdRadixSort,4392167,0
reversed,1700,QuickSort,10901542,149951
reversed,1700,StringMergeSort,3838333,6719
reversed,1700,TernaryQuickSort,11777125,32455
reversed,1800,MergeSort,3763833,16031
reversed,1800,MsdRadixQuickSort,9117000,15555
reversed,1800,MsdRadixSort,4587083,0
reversed,1800,QuickSort,11490083,154707
reversed,1800,StringMergeSort,4080334,7106
reversed,1800,TernaryQuickSort,12546584,33727
reversed,1900,MergeSort,3929375,16776
reversed,1900,MsdRadixQuickSort,9670000,16337
reversed,1900,MsdRadixSort,4826458,0
reversed,1900,QuickSort,12884750,167749
reversed,1900,StringMergeSort,4314042,7338
reversed,1900,TernaryQuickSort,13070167,34708
reversed,2000,MergeSort,4175292,17405
reversed,2000,MsdRadixQuickSort,10281250,17685
reversed,2000,MsdRadixSort,5088250,0
reversed,2000,QuickSort,12993542,172189
reversed,2000,StringMergeSort,4530792,7661
reversed,2000,TernaryQuickSort,13355334,36058
reversed,2100,MergeSort,4379166,18350
reversed,2100,MsdRadixQuickSort,10716083,18304
reversed,2100,MsdRadixSort,5374208,0
reversed,2100,QuickSort,14860708,182895
reversed,2100,StringMergeSort,4724875,7969
reversed,2100,TernaryQuickSort,13982125,38514
reversed,2200,MergeSort,4659125,19730
reversed,2200,MsdRadixQuickSort,11121041,18854
reversed,2200,MsdRadixSort,5701584,0
reversed,2200,QuickSort,14610750,191697
reversed,2200,StringMergeSort,4970334,8568
reversed,2200,TernaryQuickSort,14810041,40378
reversed,2300,MergeSort,4852666,20938
reversed,2300,MsdRadixQuickSort,11766292,19811
reversed,2300,MsdRadixSort,5896125,0
reversed,2300,QuickSort,15213917,201019
reversed,2300,StringMergeSort,5238375,9091
reversed,2300,TernaryQuickSort,15172917,39460
reversed,2400,MergeSort,5133250,22130
reversed,2400,MsdRadixQuickSort,12102375,20544
reversed,2400,MsdRadixSort,6224292,0
reversed,2400,QuickSort,15753250,210824
reversed,2400,StringMergeSort,5536083,9529
reversed,2400,TernaryQuickSort,17501125,48867
reversed,2500,MergeSort,5344625,23145
reversed,2500,MsdRadixQuickSort,12779542,21216
reversed,2500,MsdRadixSort,6461625,0
reversed,2500,QuickSort,16879250,217816
reversed,2500,StringMergeSort,5742375,9922
reversed,2500,TernaryQuickSort,17827000,50175
reversed,2600,MergeSort,5571291,24211
reversed,2600,MsdRadixQuickSort,13269709,22192
reversed,2600,MsdRadixSort,6592542,0
reversed,2600,QuickSort,17499583,228175
reversed,2600,StringMergeSort,5995916,10402
reversed,2600,TernaryQuickSort,18826750,52360
reversed,2700,MergeSort,5791917,25190
reversed,2700,MsdRadixQuickSort,13596875,22946
reversed,2700,MsdRadixSort,6975417,0
reversed,2700,QuickSort,18754208,238548
reversed,2700,StringMergeSort,6284459,10706
reversed,2700,TernaryQuickSort,18476125,49735
reversed,2800,MergeSort,6048708,26262
reversed,2800,MsdRadixQuickSort,14179250,24206
reversed,2800,MsdRadixSort,7142875,0
reversed,2800,QuickSort,19086959,246754
reversed,2800,StringMergeSort,6474916,11202
reversed,2800,TernaryQuickSort,19729000,52540
reversed,2900,MergeSort,6336167,27405
reversed,2900,MsdRadixQuickSort,14658833,25163
reversed,2900,MsdRadixSort,7366208,0
reversed,2900,QuickSort,19364208,254447
reversed,2900,StringMergeSort,6775500,11688
reversed,2900,TernaryQuickSort,20582291,56349
reversed,3000,MergeSort,6515708,28194
reversed,3000,MsdRadixQuickSort,15076875,26073
reversed,3000,MsdRadixSort,7652083,0
reversed,3000,QuickSort,20405916,261696
reversed,3000,StringMergeSort,6998708,11949
reversed,3000,TernaryQuickSort,21023666,57208
reversed,100,MergeSort,175709,661
reversed,100,MsdRadixQuickSort,522000,869
reversed,100,MsdRadixSort,253208,0
reversed,100,QuickSort,552709,8764
reversed,100,StringMergeSort,187291,371
reversed,100,TernaryQuickSort,566666,1294
reversed,200,MergeSort,352625,1431
reversed,200,MsdRadixQuickSort,973708,1578
reversed,200,MsdRadixSort,503292,0
reversed,200,QuickSort,1180583,17592
reversed,200,StringMergeSort,410750,746
reversed,200,TernaryQuickSort,1288375,2503
reversed,300,MergeSort,552083,2247
reversed,300,MsdRadixQuickSort,1500167,2468
reversed,300,MsdRadixSort,761625,0
reversed,300,QuickSort,1613292,24876
reversed,300,StringMergeSort,607792,1109
reversed,300,TernaryQuickSort,1880167,4130
reversed,400,MergeSort,758000,3129
reversed,400,MsdRadixQuickSort,1990292,3204
reversed,400,MsdRadixSort,1016459,0
reversed,400,QuickSort,2610542,34283
reversed,400,StringMergeSort,828875,1537
reversed,400,TernaryQuickSort,2350958,5346
reversed,500,MergeSort,984083,3807
reversed,500,MsdRadixQuickSort,2733334,4186
reversed,500,MsdRadixSort,1315166,0
reversed,500,QuickSort,2894917,42226
reversed,500,StringMergeSort,1035250,1854
reversed,500,TernaryQuickSort,3028292,7253
reversed,600,MergeSort,1177125,4821
reversed,600,MsdRadixQuickSort,3139500,5004
reversed,600,MsdRadixSort,1848625,0
reversed,600,QuickSort,3839916,52092
reversed,600,StringMergeSort,1333750,2262
reversed,600,TernaryQuickSort,3756083,8933
reversed,700,MergeSort,1373750,5899
reversed,700,MsdRadixQuickSort,3519583,5846
reversed,700,MsdRadixSort,2226291,0
reversed,700,QuickSort,4292416,58029
reversed,700,StringMergeSort,1542500,2786
reversed,700,TernaryQuickSort,4336541,10822
reversed,800,MergeSort,1657584,6687
reversed,800,MsdRadixQuickSort,4129834,6437
reversed,800,MsdRadixSort,2161667,0
reversed,800,QuickSort,4987791,67271
reversed,800,StringMergeSort,1726250,3089
reversed,800,TernaryQuickSort,5050292,12067
reversed,900,MergeSort,1818917,7601
reversed,900,MsdRadixQuickSort,4742833,7776
reversed,900,MsdRadixSort,2423375,0
reversed,900,QuickSort,5436833,74221
reversed,900,StringMergeSort,1999834,3554
reversed,900,TernaryQuickSort,5790583,13818
reversed,1000,MergeSort,1968834,8189
reversed,1000,MsdRadixQuickSort,5123208,8784
reversed,1000,MsdRadixSort,2711167,0
reversed,1000,QuickSort,6497042,85256
reversed,1000,StringMergeSort,2211416,3762
reversed,1000,TernaryQuickSort,6442375,15934
reversed,1100,MergeSort,2227459,9353
reversed,1100,MsdRadixQuickSort,5884625,9670
reversed,1100,MsdRadixSort,2924958,0
reversed,1100,QuickSort,6968209,96361
reversed,1100,StringMergeSort,2445333,4273
reversed,1100,TernaryQuickSort,7405166,19899
reversed,1200,MergeSort,2454542,10335
reversed,1200,MsdRadixQuickSort,6147125,10418
reversed,1200,MsdRadixSort,3309875,0
reversed,1200,QuickSort,7595584,104568
reversed,1200,StringMergeSort,2690375,4619
reversed,1200,TernaryQuickSort,8309334,20858
reversed,1300,MergeSort,2671583,11527
reversed,1300,MsdRadixQuickSort,6631208,10912
reversed,1300,MsdRadixSort,3591209,0
reversed,1300,QuickSort,8223791,110713
reversed,1300,StringMergeSort,2916500,5213
reversed,1300,TernaryQuickSort,8789417,22340
